user, longitude, latitude
ea612ad839a8db1f931f9e9a8fedcf8f3d36a120, -122.3300623, 47.6038321
c4ef55ee4f07926e2a8088d27a70bda708c2bb50, -81.0343312, 34.0007493
42abebefb182e5cf39ebb6312780ec02f1fa299b, -122.4192362, 37.7792808
f1b1b73c7dca2b3fea328bc610e9c98411e74e0e, -118.2439408, 34.0543942
16dee91fd45d81bdafd74b892506afd9c79ddfb3, -82.3247975, 29.651907
aade3aa6af8e89b655cfba572a62d2488f71546f, -0.1276473, 51.5073219
e004d9ce31ef8bc6ca6b4db2971b0be1995ad7c6, 153.0234991, -27.4689681
6e76fe375e5b8c3e5ceb6ea392d65b00c43ee203, -121.8905832, 37.3361905
f7ae3b86d6c95f57324ae3c575b5a033b28ea010, -117.1627713, 32.7174209
ee341cfb281bbe9106a7b20b53561e38ae1d4f0d, -122.2728638, 37.8708393
70cf5d415060da40d19642f7067873bfde0281ec, -77.0841584, 38.8903961
beb906059c9b627752d3c93ee30baf15f3277835, -0.1276473, 51.5073219
016fcb053efd255ad87f46680571d3b3940b27ae, -79.8678196, 43.254687
8408d9879b71425c805b3d05d7d9fb7e10991b3f, 24.9435079, 60.1666277
efc8354cbda0173834a45388d83e524312ae6f51, 10.0099133, 53.5437641
3532d9f9a147a671490bee29a342fbe7625ae577, -120.6596155, 35.2827525
75462a9998d4f67708e400ba74693740a50d4120, -73.9865811, 40.7305991
666c06c0cbbbcd89c6f88f225582f3bbd44a74c8, -86.4812115114272, 34.676649
6597025931a26cfe287baafb2dbf7d0a4908575e, -97.7436994, 30.2711286
999d7ab833f8e206d986f4d06cfcaa3116bcdbe1, 9.1904984, 45.4667971
bb09043e1f152b92900091fa2a11f1b3a38cb003, 13.7381437, 51.0493286
130b4c8597dfd1a36eae8b3b47e3df663123d932, 14.4212503, 50.0874654
6efe554c77b80e9efc7ae7ef183b8029d993fb64, -77.3124820417139, 25.06013005
df390fc900349aefbc38a50f6420f02ac8c3dfd8, -111.9094473, 33.4144139
db7398149e97a080205d00b8cd253c588e981dd0, 139.294774527387, 34.2255804
e2dc8e0f3799b0f1ae39684c0308ad61e829b516, -99.1332101, 19.4325301
37b1db16b319adca7e88ba7ab44eef843eb30d1e, -75.3173405908547, 40.0238245
71bcebba0df1dc9257a698106be3d2f200add5fd, 19.0258159, 52.0977181
217e98c7e30f8b3601db8fd54cd9753d96243945, 12.129853, 54.0842461
6658bd11f2e2171b4fdbd07b77cf275547d7d560, -87.6244211, 41.8755546
6d8c8b803ba7b92952e52657600d9dd31986b1cc, 80.2829533, 13.0796914
f586db25766a6c05cc1d713c8c0423a492320ea2, -3.2765752, 54.7023545
e85d26f35f08a6c3fb4d21316576d35764a1758b, -73.7845142, 2.893108
